cell_K,cell_lambda,method,w1_mean,w6_mean,slope_mean,w1_ci_lo,w1_ci_hi,w6_ci_lo,w6_ci_hi,slope_ci_lo,slope_ci_hi
10,1.0,CVSS-only,0.0872,0.07920000000000002,-0.0018057142857142846,0.068,0.1072,0.062400000000000004,0.0968,-0.004548571428571427,0.0009828571428571427
10,1.0,EPSS-only,0.3312,0.13440000000000002,-0.03826285714285716,0.3072,0.35600000000000004,0.1136,0.1552,-0.04310857142857144,-0.03350857142857144
10,1.0,HRS-only,0.28400000000000003,0.2632,-0.0035885714285714275,0.2616,0.30560000000000004,0.2408,0.2848,-0.008205714285714283,0.0010977142857142802
10,1.0,HygienePrio-full,0.5952000000000001,0.5296,-0.010377142857142854,0.568,0.6215999999999999,0.5064,0.552,-0.016045714285714278,-0.00450285714285714
10,1.0,Random,0.09440000000000001,0.08960000000000001,-0.002239999999999998,0.0816,0.10880000000000001,0.07120000000000001,0.10800000000000003,-0.006331999999999995,0.0017828571428571446
10,3.0,CVSS-only,0.0872,0.0816,-0.0007085714285714274,0.068,0.1072,0.06720000000000001,0.09759999999999999,-0.004502857142857142,0.002925714285714288
10,3.0,EPSS-only,0.3312,0.1336,-0.038742857142857155,0.3072,0.35600000000000004,0.11200000000000002,0.156,-0.044640000000000006,-0.033188000000000016
10,3.0,HRS-only,0.28400000000000003,0.26080000000000003,-0.004525714285714284,0.2616,0.30560000000000004,0.23439999999999997,0.28800000000000003,-0.009714285714285717,0.0010285714285714301
10,3.0,HygienePrio-full,0.5952000000000001,0.5416000000000001,-0.009348571428571434,0.568,0.6215999999999999,0.5183800000000002,0.5640000000000001,-0.015863428571428584,-0.0031537142857142927
10,3.0,Random,0.09440000000000001,0.10000000000000002,0.00041142857142857246,0.0816,0.10880000000000001,0.08,0.1216,-0.0034971428571428567,0.004297142857142858
10,6.0,CVSS-only,0.0872,0.0816,-0.000754285714285714,0.068,0.1072,0.064,0.10000000000000002,-0.003451999999999996,0.002011428571428571
10,6.0,EPSS-only,0.3312,0.14880000000000002,-0.034560000000000014,0.3072,0.35600000000000004,0.1288,0.16879999999999998,-0.040502857142857146,-0.028937142857142866
10,6.0,HRS-only,0.28400000000000003,0.25999999999999995,-0.004457142857142859,0.2616,0.30560000000000004,0.23440000000000003,0.2856,-0.008617142857142865,-0.0004571428571428561
10,6.0,HygienePrio-full,0.5952000000000001,0.5536000000000001,-0.005714285714285711,0.568,0.6215999999999999,0.5272,0.5800000000000001,-0.01312,0.0013720000000000013
10,6.0,Random,0.09440000000000001,0.1,2.2857142857145297e-05,0.0816,0.10880000000000001,0.0824,0.1192,-0.003817142857142855,0.0041371428571428575
10,12.0,CVSS-only,0.0872,0.09200000000000001,0.0012342857142857149,0.068,0.1072,0.07519999999999999,0.1112,-0.0012114285714285708,0.003771428571428573
10,12.0,EPSS-only,0.3312,0.13520000000000001,-0.03625142857142858,0.3072,0.35600000000000004,0.11280000000000001,0.15839999999999999,-0.042263428571428584,-0.03074285714285715
10,12.0,HRS-only,0.28400000000000003,0.2576,-0.005325714285714286,0.2616,0.30560000000000004,0.23040000000000002,0.2848,-0.010582857142857142,-0.00015999999999999662
10,12.0,HygienePrio-full,0.5952000000000001,0.5304000000000001,-0.011565714285714276,0.568,0.6215999999999999,0.504,0.5568000000000001,-0.019131428571428567,-0.0041137142857142804
10,12.0,Random,0.09440000000000001,0.08800000000000001,-0.0018514285714285703,0.0816,0.10880000000000001,0.0728,0.1032,-0.004937142857142857,0.0013028571428571447
25,1.0,CVSS-only,0.0872,0.0656,-0.0038400000000000005,0.068,0.1072,0.048799999999999996,0.0832,-0.007817142857142858,2.3428571428564372e-05
25,1.0,EPSS-only,0.3312,0.06720000000000001,-0.047291428571428595,0.3072,0.35600000000000004,0.0528,0.0816,-0.05337142857142859,-0.041142857142857155
25,1.0,HRS-only,0.28400000000000003,0.15760000000000002,-0.022994285714285714,0.2616,0.30560000000000004,0.14,0.17600000000000002,-0.027520000000000006,-0.01858285714285714
25,1.0,HygienePrio-full,0.5952000000000001,0.5592,0.0014171428571428607,0.568,0.6215999999999999,0.5376000000000001,0.5824,-0.006354857142857135,0.009622857142857141
25,1.0,Random,0.09440000000000001,0.0776,-0.003954285714285715,0.0816,0.10880000000000001,0.0664,0.08800000000000001,-0.007040000000000002,-0.0007542857142857142
25,3.0,CVSS-only,0.0872,0.06960000000000001,-0.003200000000000002,0.068,0.1072,0.054400000000000004,0.0848,-0.007085714285714287,0.0004800000000000003
25,3.0,EPSS-only,0.3312,0.064,-0.047680000000000014,0.3072,0.35600000000000004,0.048799999999999996,0.0808,-0.053805714285714304,-0.04166857142857145
25,3.0,HRS-only,0.28400000000000003,0.15360000000000001,-0.024571428571428577,0.2616,0.30560000000000004,0.1352,0.17439999999999997,-0.02902857142857143,-0.02018285714285715
25,3.0,HygienePrio-full,0.5952000000000001,0.5544,-0.0009371428571428601,0.568,0.6215999999999999,0.5344000000000001,0.5744,-0.008777714285714286,0.006994857142857136
25,3.0,Random,0.09440000000000001,0.07200000000000001,-0.004937142857142859,0.0816,0.10880000000000001,0.06,0.0848,-0.008137714285714283,-0.0018508571428571502
25,6.0,CVSS-only,0.0872,0.0664,-0.0030628571428571428,0.068,0.1072,0.05040000000000001,0.0832,-0.00635485714285714,0.0002742857142857148
25,6.0,EPSS-only,0.3312,0.0776,-0.04573714285714288,0.3072,0.35600000000000004,0.0592,0.09920000000000001,-0.052411428571428595,-0.03888000000000002
25,6.0,HRS-only,0.28400000000000003,0.14800000000000002,-0.024937142857142863,0.2616,0.30560000000000004,0.12480000000000001,0.1752,-0.03028571428571429,-0.019360000000000002
25,6.0,HygienePrio-full,0.5952000000000001,0.5664,-0.0009599999999999996,0.568,0.6215999999999999,0.5432000000000001,0.5896,-0.007931428571428567,0.006034857142857145
25,6.0,Random,0.09440000000000001,0.084,-0.002148571428571429,0.0816,0.10880000000000001,0.0696,0.09920000000000001,-0.006126285714285713,0.001828571428571428
25,12.0,CVSS-only,0.0872,0.07680000000000001,-0.0023542857142857137,0.068,0.1072,0.062400000000000004,0.09041999999999972,-0.00598857142857143,0.0013714285714285712
25,12.0,EPSS-only,0.3312,0.07120000000000001,-0.046651428571428594,0.3072,0.35600000000000004,0.0576,0.0864,-0.052822857142857164,-0.040594285714285736
25,12.0,HRS-only,0.28400000000000003,0.1648,-0.021211428571428576,0.2616,0.30560000000000004,0.14400000000000002,0.18560000000000001,-0.025348571428571432,-0.01718857142857143
25,12.0,HygienePrio-full,0.5952000000000001,0.5688000000000001,0.0004571428571428577,0.568,0.6215999999999999,0.5496,0.5888,-0.006834285714285716,0.007702857142857142
25,12.0,Random,0.09440000000000001,0.0848,-0.0018971428571428579,0.0816,0.10880000000000001,0.06638000000000017,0.10400000000000002,-0.006262857142857142,0.0025142857142857115
50,1.0,CVSS-only,0.0872,0.046400000000000004,-0.007222857142857145,0.068,0.1072,0.0352,0.0584,-0.010834285714285716,-0.003680000000000001
50,1.0,EPSS-only,0.3312,0.0424,-0.05106285714285717,0.3072,0.35600000000000004,0.033600000000000005,0.05120000000000001,-0.05622857142857146,-0.045988571428571455
50,1.0,HRS-only,0.28400000000000003,0.0304,-0.0509257142857143,0.2616,0.30560000000000004,0.02,0.0416,-0.056320000000000016,-0.04537142857142859
50,1.0,HygienePrio-full,0.5952000000000001,0.4728,-0.019428571428571424,0.568,0.6215999999999999,0.4504000000000001,0.496,-0.02580571428571428,-0.013096571428571423
50,1.0,Random,0.09440000000000001,0.055200000000000006,-0.006628571428571428,0.0816,0.10880000000000001,0.044000000000000004,0.0664,-0.010034285714285716,-0.0033371428571428562
50,3.0,CVSS-only,0.0872,0.054400000000000004,-0.006011428571428574,0.068,0.1072,0.044000000000000004,0.06480000000000001,-0.009714857142857141,-0.002560000000000001
50,3.0,EPSS-only,0.3312,0.03440000000000001,-0.05202285714285717,0.3072,0.35600000000000004,0.025600000000000005,0.0432,-0.05734857142857144,-0.04699428571428573
50,3.0,HRS-only,0.28400000000000003,0.049600000000000005,-0.04861714285714286,0.2616,0.30560000000000004,0.0376,0.062400000000000004,-0.05430857142857144,-0.0427657142857143
50,3.0,HygienePrio-full,0.5952000000000001,0.49920000000000003,-0.017119999999999996,0.568,0.6215999999999999,0.468,0.5304,-0.023383428571428572,-0.010628571428571414
50,3.0,Random,0.09440000000000001,0.05360000000000001,-0.008000000000000002,0.0816,0.10880000000000001,0.0432,0.064,-0.011200000000000002,-0.0048228571428571435
50,6.0,CVSS-only,0.0872,0.0592,-0.004411428571428572,0.068,0.1072,0.044800000000000006,0.0744,-0.008777142857142858,-0.000388571428571428
50,6.0,EPSS-only,0.3312,0.0528,-0.051154285714285735,0.3072,0.35600000000000004,0.0408,0.06480000000000001,-0.055817142857142885,-0.046651428571428594
50,6.0,HRS-only,0.28400000000000003,0.0408,-0.04797714285714288,0.2616,0.30560000000000004,0.0296,0.05200000000000001,-0.05339428571428573,-0.04230857142857145
50,6.0,HygienePrio-full,0.5952000000000001,0.4872000000000001,-0.018834285714285713,0.568,0.6215999999999999,0.4496,0.5216,-0.025737142857142858,-0.011657142857142859
50,6.0,Random,0.09440000000000001,0.0592,-0.0064,0.0816,0.10880000000000001,0.046400000000000004,0.0736,-0.010149142857142853,-0.002605714285714288
50,12.0,CVSS-only,0.0872,0.04880000000000001,-0.007680000000000004,0.068,0.1072,0.0376,0.06,-0.011634285714285717,-0.003817142857142861
50,12.0,EPSS-only,0.3312,0.0416,-0.05133714285714289,0.3072,0.35600000000000004,0.0304,0.053599999999999995,-0.05691428571428574,-0.046080000000000024
50,12.0,HRS-only,0.28400000000000003,0.056000000000000015,-0.04612571428571429,0.2616,0.30560000000000004,0.0424,0.06960000000000001,-0.051291428571428585,-0.04084571428571429
50,12.0,HygienePrio-full,0.5952000000000001,0.5256000000000001,-0.012091428571428569,0.568,0.6215999999999999,0.4960000000000001,0.5536,-0.018605714285714278,-0.006148571428571427
50,12.0,Random,0.09440000000000001,0.056000000000000015,-0.006765714285714287,0.0816,0.10880000000000001,0.047200000000000006,0.06480000000000001,-0.009782857142857143,-0.003931428571428573
100,1.0,CVSS-only,0.0872,0.0208,-0.011954285714285718,0.068,0.1072,0.0128,0.028800000000000003,-0.01620571428571429,-0.007817142857142861
100,1.0,EPSS-only,0.3312,0.055200000000000006,-0.04272000000000003,0.3072,0.35600000000000004,0.0416,0.0704,-0.04742857142857146,-0.03828571428571431
100,1.0,HRS-only,0.28400000000000003,0.0072,-0.053988571428571455,0.2616,0.30560000000000004,0.0032,0.012,-0.058377714285714304,-0.04943942857142859
100,1.0,HygienePrio-full,0.5952000000000001,0.32799999999999996,-0.05465142857142857,0.568,0.6215999999999999,0.3008,0.3560199999999998,-0.060525714285714294,-0.04877714285714287
100,1.0,Random,0.09440000000000001,0.029600000000000005,-0.013874285714285721,0.0816,0.10880000000000001,0.0192,0.0416,-0.01680000000000001,-0.01069714285714286
100,3.0,CVSS-only,0.0872,0.0192,-0.012822857142857146,0.068,0.1072,0.012000000000000002,0.0272,-0.016868571428571434,-0.008845714285714288
100,3.0,EPSS-only,0.3312,0.048799999999999996,-0.04436571428571432,0.3072,0.35600000000000004,0.0344,0.0656,-0.04925714285714289,-0.03988571428571432
100,3.0,HRS-only,0.28400000000000003,0.0088,-0.05504000000000002,0.2616,0.30560000000000004,0.004,0.0152,-0.059565714285714305,-0.050468571428571446
100,3.0,HygienePrio-full,0.5952000000000001,0.3152,-0.057554285714285724,0.568,0.6215999999999999,0.2872,0.34321999999999975,-0.06461771428571429,-0.05101714285714288
100,3.0,Random,0.09440000000000001,0.0304,-0.01396571428571429,0.0816,0.10880000000000001,0.02,0.0416,-0.016617142857142865,-0.011360000000000002
100,6.0,CVSS-only,0.0872,0.033600000000000005,-0.009851428571428577,0.068,0.1072,0.0248,0.0432,-0.014102857142857146,-0.005737142857142862
100,6.0,EPSS-only,0.3312,0.0576,-0.04205714285714289,0.3072,0.35600000000000004,0.044000000000000004,0.0704,-0.04660571428571432,-0.037851428571428605
100,6.0,HRS-only,0.28400000000000003,0.0088,-0.05520000000000002,0.2616,0.30560000000000004,0.0048000000000000004,0.0128,-0.059931428571428594,-0.05044571428571431
100,6.0,HygienePrio-full,0.5952000000000001,0.33440000000000003,-0.05366857142857144,0.568,0.6215999999999999,0.30720000000000003,0.36160000000000003,-0.06018285714285715,-0.04694857142857143
100,6.0,Random,0.09440000000000001,0.027200000000000002,-0.013371428571428574,0.0816,0.10880000000000001,0.02,0.0352,-0.01634285714285715,-0.010331428571428576
100,12.0,CVSS-only,0.0872,0.0216,-0.012685714285714291,0.068,0.1072,0.013600000000000001,0.031200000000000002,-0.01684571428571429,-0.008662857142857147
100,12.0,EPSS-only,0.3312,0.047200000000000006,-0.04310857142857146,0.3072,0.35600000000000004,0.0392,0.056799999999999996,-0.04754285714285717,-0.03910800000000003
100,12.0,HRS-only,0.28400000000000003,0.0104,-0.053965714285714304,0.2616,0.30560000000000004,0.0064,0.0152,-0.05840000000000003,-0.04930285714285716
100,12.0,HygienePrio-full,0.5952000000000001,0.3224000000000001,-0.054880000000000005,0.568,0.6215999999999999,0.29600000000000004,0.3504,-0.06041142857142858,-0.04941714285714287
100,12.0,Random,0.09440000000000001,0.0264,-0.014194285714285717,0.0816,0.10880000000000001,0.016800000000000002,0.036000000000000004,-0.017097142857142863,-0.01124571428571429
200,1.0,CVSS-only,0.0872,0.0048,-0.015062857142857147,0.068,0.1072,0.0008,0.0088,-0.01833142857142858,-0.01197714285714286
200,1.0,EPSS-only,0.3312,0.06160000000000001,-0.0352914285714286,0.3072,0.35600000000000004,0.05040000000000001,0.07280000000000002,-0.039725714285714316,-0.030788571428571453
200,1.0,HRS-only,0.28400000000000003,0.0024,-0.04608000000000003,0.2616,0.30560000000000004,0.0,0.0048000000000000004,-0.0496914285714286,-0.04244571428571432
200,1.0,HygienePrio-full,0.5952000000000001,0.06160000000000001,-0.11270857142857146,0.568,0.6215999999999999,0.05040000000000001,0.07280000000000002,-0.1170514285714286,-0.10832000000000003
200,1.0,Random,0.09440000000000001,0.0016,-0.018125714285714294,0.0816,0.10880000000000001,0.0,0.0048,-0.0202057142857143,-0.01604514285714287
200,3.0,CVSS-only,0.0872,0.0024,-0.01586285714285715,0.068,0.1072,0.0,0.005599999999999999,-0.019177142857142865,-0.012708571428571432
200,3.0,EPSS-only,0.3312,0.076,-0.03236571428571432,0.3072,0.35600000000000004,0.05920000000000001,0.09360000000000002,-0.03670857142857146,-0.028091428571428597
200,3.0,HRS-only,0.28400000000000003,0.0032,-0.0466514285714286,0.2616,0.30560000000000004,0.0008,0.0064,-0.05044628571428575,-0.042674285714285734
200,3.0,HygienePrio-full,0.5952000000000001,0.07519999999999999,-0.10941714285714287,0.568,0.6215999999999999,0.0592,0.09200000000000001,-0.11478857142857146,-0.10411428571428574
200,3.0,Random,0.09440000000000001,0.004,-0.017577142857142868,0.0816,0.10880000000000001,0.0008,0.0072,-0.020229142857142862,-0.015131428571428575
200,6.0,CVSS-only,0.0872,0.0016,-0.015565714285714292,0.068,0.1072,0.0,0.004,-0.01906342857142858,-0.012228571428571432
200,6.0,EPSS-only,0.3312,0.0872,-0.030262857142857175,0.3072,0.35600000000000004,0.068,0.10799999999999998,-0.03508571428571432,-0.025393714285714318
200,6.0,HRS-only,0.28400000000000003,0.011200000000000002,-0.04486857142857145,0.2616,0.30560000000000004,0.005600000000000001,0.016800000000000002,-0.048411428571428605,-0.04134857142857145
200,6.0,HygienePrio-full,0.5952000000000001,0.0872,-0.10532571428571431,0.568,0.6215999999999999,0.068,0.10799999999999998,-0.11069714285714288,-0.09974857142857146
200,6.0,Random,0.09440000000000001,0.0032,-0.017074285714285722,0.0816,0.10880000000000001,0.0008,0.0064,-0.019222857142857153,-0.01492571428571429
200,12.0,CVSS-only,0.0872,0.004,-0.015268571428571439,0.068,0.1072,0.0008,0.008,-0.01876628571428572,-0.01181714285714286
200,12.0,EPSS-only,0.3312,0.11680000000000001,-0.025257142857142884,0.3072,0.35600000000000004,0.09360000000000002,0.144,-0.03122285714285717,-0.019428000000000032
200,12.0,HRS-only,0.28400000000000003,0.0152,-0.04278857142857146,0.2616,0.30560000000000004,0.0096,0.0216,-0.04678914285714289,-0.03876571428571431
200,12.0,HygienePrio-full,0.5952000000000001,0.11600000000000002,-0.09821714285714288,0.568,0.6215999999999999,0.09360000000000002,0.1416,-0.10384057142857146,-0.09229714285714287
200,12.0,Random,0.09440000000000001,0.008,-0.015977142857142867,0.0816,0.10880000000000001,0.0032,0.012800000000000002,-0.018468571428571435,-0.013645714285714292
