seed,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
105,HygienePrio-full,1722,28,0.46,0.26,0.112
105,EPSS-only,1722,28,0.38,0.28,0.112
105,HRS-only,1722,28,0.02,0.02,0.036
105,CVSS-only,1722,28,0.04,0.03,0.028
105,Random,1722,28,0.0,0.02,0.02
106,HygienePrio-full,1742,25,0.42,0.25,0.1
106,EPSS-only,1742,25,0.38,0.25,0.1
106,HRS-only,1742,25,0.06,0.07,0.064
106,CVSS-only,1742,25,0.0,0.0,0.016
106,Random,1742,25,0.0,0.01,0.016
107,HygienePrio-full,1758,18,0.3,0.17,0.072
107,EPSS-only,1758,18,0.3,0.18,0.072
107,HRS-only,1758,18,0.0,0.01,0.02
107,CVSS-only,1758,18,0.0,0.0,0.004
107,Random,1758,18,0.0,0.01,0.008
108,HygienePrio-full,1725,29,0.5,0.27,0.116
108,EPSS-only,1725,29,0.52,0.29,0.116
108,HRS-only,1725,29,0.04,0.05,0.04
108,CVSS-only,1725,29,0.02,0.01,0.016
108,Random,1725,29,0.02,0.02,0.016
109,HygienePrio-full,1724,21,0.32,0.19,0.084
109,EPSS-only,1724,21,0.26,0.21,0.084
109,HRS-only,1724,21,0.02,0.02,0.028
109,CVSS-only,1724,21,0.0,0.02,0.008
109,Random,1724,21,0.0,0.03,0.012
110,HygienePrio-full,1741,20,0.38,0.19,0.08
110,EPSS-only,1741,20,0.32,0.2,0.08
110,HRS-only,1741,20,0.04,0.05,0.036
110,CVSS-only,1741,20,0.0,0.0,0.008
110,Random,1741,20,0.04,0.02,0.02
111,HygienePrio-full,1694,25,0.4,0.23,0.1
111,EPSS-only,1694,25,0.38,0.25,0.1
111,HRS-only,1694,25,0.04,0.03,0.028
111,CVSS-only,1694,25,0.04,0.02,0.02
111,Random,1694,25,0.0,0.01,0.012
112,HygienePrio-full,1768,18,0.36,0.18,0.072
112,EPSS-only,1768,18,0.36,0.18,0.072
112,HRS-only,1768,18,0.02,0.03,0.048
112,CVSS-only,1768,18,0.04,0.04,0.016
112,Random,1768,18,0.0,0.0,0.008
113,HygienePrio-full,1730,23,0.4,0.22,0.092
113,EPSS-only,1730,23,0.36,0.23,0.092
113,HRS-only,1730,23,0.02,0.03,0.044
113,CVSS-only,1730,23,0.02,0.03,0.028
113,Random,1730,23,0.0,0.01,0.012
114,HygienePrio-full,1808,16,0.28,0.16,0.064
114,EPSS-only,1808,16,0.26,0.16,0.064
114,HRS-only,1808,16,0.02,0.02,0.024
114,CVSS-only,1808,16,0.0,0.0,0.008
114,Random,1808,16,0.02,0.02,0.012
115,HygienePrio-full,1645,21,0.36,0.2,0.084
115,EPSS-only,1645,21,0.36,0.21,0.084
115,HRS-only,1645,21,0.04,0.04,0.044
115,CVSS-only,1645,21,0.0,0.01,0.004
115,Random,1645,21,0.02,0.01,0.012
116,HygienePrio-full,1776,26,0.42,0.25,0.104
116,EPSS-only,1776,26,0.36,0.26,0.104
116,HRS-only,1776,26,0.04,0.05,0.036
116,CVSS-only,1776,26,0.04,0.03,0.02
116,Random,1776,26,0.02,0.02,0.012
117,HygienePrio-full,1829,21,0.36,0.2,0.084
117,EPSS-only,1829,21,0.36,0.21,0.084
117,HRS-only,1829,21,0.02,0.04,0.024
117,CVSS-only,1829,21,0.04,0.02,0.016
117,Random,1829,21,0.02,0.01,0.008
118,HygienePrio-full,1740,28,0.46,0.27,0.112
118,EPSS-only,1740,28,0.48,0.28,0.112
118,HRS-only,1740,28,0.08,0.05,0.036
118,CVSS-only,1740,28,0.0,0.01,0.012
118,Random,1740,28,0.0,0.0,0.0
119,HygienePrio-full,1705,18,0.32,0.18,0.072
119,EPSS-only,1705,18,0.32,0.18,0.072
119,HRS-only,1705,18,0.08,0.06,0.04
119,CVSS-only,1705,18,0.0,0.01,0.004
119,Random,1705,18,0.04,0.03,0.02
120,HygienePrio-full,1803,19,0.28,0.17,0.076
120,EPSS-only,1803,19,0.28,0.19,0.076
120,HRS-only,1803,19,0.06,0.03,0.032
120,CVSS-only,1803,19,0.02,0.03,0.016
120,Random,1803,19,0.02,0.02,0.012
121,HygienePrio-full,1734,25,0.46,0.25,0.1
121,EPSS-only,1734,25,0.42,0.25,0.1
121,HRS-only,1734,25,0.12,0.07,0.056
121,CVSS-only,1734,25,0.0,0.0,0.0
121,Random,1734,25,0.02,0.01,0.012
122,HygienePrio-full,1855,28,0.46,0.27,0.112
122,EPSS-only,1855,28,0.44,0.28,0.112
122,HRS-only,1855,28,0.04,0.05,0.04
122,CVSS-only,1855,28,0.02,0.03,0.028
122,Random,1855,28,0.0,0.0,0.004
123,HygienePrio-full,1709,23,0.4,0.23,0.092
123,EPSS-only,1709,23,0.36,0.23,0.092
123,HRS-only,1709,23,0.06,0.04,0.048
123,CVSS-only,1709,23,0.0,0.0,0.016
123,Random,1709,23,0.02,0.01,0.008
124,HygienePrio-full,1673,19,0.32,0.18,0.076
124,EPSS-only,1673,19,0.26,0.19,0.076
124,HRS-only,1673,19,0.02,0.02,0.024
124,CVSS-only,1673,19,0.0,0.0,0.008
124,Random,1673,19,0.0,0.01,0.012
125,HygienePrio-full,1741,29,0.5,0.27,0.116
125,EPSS-only,1741,29,0.44,0.29,0.116
125,HRS-only,1741,29,0.1,0.08,0.06
125,CVSS-only,1741,29,0.0,0.0,0.008
125,Random,1741,29,0.0,0.0,0.004
126,HygienePrio-full,1706,22,0.28,0.2,0.088
126,EPSS-only,1706,22,0.3,0.22,0.088
126,HRS-only,1706,22,0.0,0.02,0.028
126,CVSS-only,1706,22,0.0,0.0,0.004
126,Random,1706,22,0.0,0.0,0.0
127,HygienePrio-full,1747,17,0.3,0.17,0.068
127,EPSS-only,1747,17,0.28,0.17,0.068
127,HRS-only,1747,17,0.02,0.01,0.032
127,CVSS-only,1747,17,0.0,0.02,0.016
127,Random,1747,17,0.0,0.0,0.012
128,HygienePrio-full,1752,21,0.36,0.19,0.084
128,EPSS-only,1752,21,0.36,0.21,0.084
128,HRS-only,1752,21,0.06,0.04,0.028
128,CVSS-only,1752,21,0.06,0.04,0.028
128,Random,1752,21,0.0,0.0,0.012
129,HygienePrio-full,1790,18,0.32,0.16,0.072
129,EPSS-only,1790,18,0.28,0.18,0.072
129,HRS-only,1790,18,0.0,0.04,0.032
129,CVSS-only,1790,18,0.0,0.01,0.008
129,Random,1790,18,0.0,0.01,0.016
